# This csv is the centroids Rrs(0-) of Moore et al. (2014)
# The relation between Rrs(0-) and Rrs(0+) is: Rrs(0-) = Rrs(0+) / (0.52 + 1.7*Rrs(0+))
# So the convertion from Rrs(0-) to Rrs(0+) is: Rrs(0+) = 0.52 / (1/Rrs(0-) - 1.7)
OWT,412,443,490,510,560,620,665,680,709,753
Moo1,0.0157,0.0181,0.0223,0.0227,0.0252,0.0096,0.0063,0.0058,0.0034,0.0014
Moo2,0.0023,0.0025,0.0033,0.0036,0.0047,0.0027,0.002,0.0021,0.0016,0.0006
Moo3,0.007,0.0072,0.0093,0.0103,0.0135,0.0067,0.0046,0.0045,0.0036,0.0011
Moo4,0.0077,0.0081,0.0121,0.0148,0.0245,0.0152,0.0125,0.011,0.0138,0.0039
Moo5,0.0081,0.0064,0.0095,0.0132,0.0278,0.0141,0.0125,0.0109,0.041,0.0191
Moo6,0.0146,0.0171,0.0229,0.0261,0.0372,0.0252,0.0185,0.0171,0.0149,0.0053
Moo7,0.0183,0.0212,0.0305,0.0379,0.0571,0.0446,0.0339,0.0311,0.0352,0.0123
